,mandates,party,presidents,votes.absoluteMajority,votes.constituenctyCounter,votes.mandates,votes.percentage,votes.presidents,votes.validVotesPercentage,votes.votes,county,district,availableMandates,blankVotes,blankVotesPercentage,displayMessage,hasNoVoting,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters,candidatos,year
0,0,B.E.,0,0,1,0,1.55,0,1.63,203,Albergaria-a-Velha,Aveiro,0,387,2.95,,False,276,2.11,6,13110,57.47,Rui Manuel Pinto Chagas Câncio Ferreira,2013
1,4,CDS-PP,1,1,1,4,43.49,1,45.8,5701,Albergaria-a-Velha,Aveiro,0,387,2.95,,False,276,2.11,6,13110,57.47,António Augusto Amaral Loureiro e Santos,2013
2,0,PCP - PEV,0,0,1,0,2.89,0,3.04,379,Albergaria-a-Velha,Aveiro,0,387,2.95,,False,276,2.11,6,13110,57.47,Bruno Miguel Alves Bento,2013
3,3,PPD/PSD,0,0,1,3,37.05,0,39.02,4857,Albergaria-a-Velha,Aveiro,0,387,2.95,,False,276,2.11,6,13110,57.47,José Licínio Tavares Pimenta,2013
4,0,PS,0,0,1,0,9.97,0,10.5,1307,Albergaria-a-Velha,Aveiro,0,387,2.95,,False,276,2.11,6,13110,57.47,Elísio Apolinário Simões da Silva,2013
5,0,CDS-PP,0,0,1,0,3.61,0,3.87,556,Anadia,Aveiro,0,586,3.81,,False,426,2.77,10,15395,54.16,João Tiago Castelo Branco Charuca de Azevedo,2013
6,3,III,1,0,1,3,41.42,1,44.34,6377,Anadia,Aveiro,0,586,3.81,,False,426,2.77,10,15395,54.16,Maria Teresa Belém Correia Cardoso,2013
7,0,PCP - PEV,0,0,1,0,3.09,0,3.31,476,Anadia,Aveiro,0,586,3.81,,False,426,2.77,10,15395,54.16,Maria de Fátima Gomes Martins da Costa Henriques Flores,2013
8,3,PPD/PSD,0,0,1,3,31.48,0,33.69,4846,Anadia,Aveiro,0,586,3.81,,False,426,2.77,10,15395,54.16,José Manuel Ferreira Nunes Ribeiro,2013
9,1,PS,0,0,1,1,13.82,0,14.8,2128,Anadia,Aveiro,0,586,3.81,,False,426,2.77,10,15395,54.16,Lino Jorge Cerveira Pintado,2013
10,0,CDS-PP,0,0,1,0,5.24,0,5.46,726,Arouca,Aveiro,0,312,2.25,,False,260,1.87,16,13867,66.32,Adriano de Jesus Brandão,2013
11,0,PCP - PEV,0,0,1,0,2.81,0,2.93,390,Arouca,Aveiro,0,312,2.25,,False,260,1.87,16,13867,66.32,Francisco Manuel da Cunha Gonçalves,2013
12,2,PPD/PSD,0,0,1,2,28.35,0,29.57,3931,Arouca,Aveiro,0,312,2.25,,False,260,1.87,16,13867,66.32,José Luís Alves da Silva,2013
13,5,PS,1,1,1,5,59.48,1,62.04,8248,Arouca,Aveiro,0,312,2.25,,False,260,1.87,16,13867,66.32,José Artur Tavares Neves,2013
14,0,B.E.,0,0,1,0,3.98,0,4.33,1366,Aveiro,Aveiro,0,1830,5.33,,False,971,2.83,10,34330,48.95,Nelson Ricardo Esteves Peralta,2013
15,1,IX,0,0,1,1,10.14,0,11.04,3480,Aveiro,Aveiro,0,1830,5.33,,False,971,2.83,10,34330,48.95,Élio Manuel Delgado da Maia,2013
16,0,PCP - PEV,0,0,1,0,3.67,0,3.99,1259,Aveiro,Aveiro,0,1830,5.33,,False,971,2.83,10,34330,48.95,Miguel Lopes Batista Viegas,2013
17,0,PCTP/MRPP,0,0,1,0,0.68,0,0.75,235,Aveiro,Aveiro,0,1830,5.33,,False,971,2.83,10,34330,48.95,Luís Fernando Ferreira Monteiro Rebocho,2013
18,0,PNR,0,0,1,0,0.36,0,0.39,123,Aveiro,Aveiro,0,1830,5.33,,False,971,2.83,10,34330,48.95,Vitor Manuel Duarte Ferreira Ramalho,2013
19,5,PPD/PSD.CDS-PP.PPM,1,1,1,5,48.63,1,52.95,16694,Aveiro,Aveiro,0,1830,5.33,,False,971,2.83,10,34330,48.95,José Agostinho Ribau Esteves,2013
20,3,PS,0,0,1,3,24.39,0,26.55,8372,Aveiro,Aveiro,0,1830,5.33,,False,971,2.83,10,34330,48.95,Eduardo Elísio Silva Peralta Feio,2013
21,0,B.E.,0,0,1,0,0.64,0,0.66,72,Castelo de Paiva,Aveiro,0,132,1.18,,False,157,1.4,6,11221,75.91,Abílio Augusto Carrazedo Guerra,2013
22,0,CDS-PP,0,0,1,0,0.84,0,0.86,94,Castelo de Paiva,Aveiro,0,132,1.18,,False,157,1.4,6,11221,75.91,Paulo Fernando Nogueira Martel da Silva,2013
23,0,PCP - PEV,0,0,1,0,0.94,0,0.97,106,Castelo de Paiva,Aveiro,0,132,1.18,,False,157,1.4,6,11221,75.91,Manuel da Rocha Vieira,2013
24,3,PPD/PSD,0,0,1,3,35.97,0,36.92,4036,Castelo de Paiva,Aveiro,0,132,1.18,,False,157,1.4,6,11221,75.91,Norberto dos Santos Rodrigues Moreira,2013
25,4,PS,1,1,1,4,59.03,1,60.59,6624,Castelo de Paiva,Aveiro,0,132,1.18,,False,157,1.4,6,11221,75.91,Gonçalo Fernando da Rocha de Jesus,2013
26,0,B.E.,0,0,1,0,3.37,0,3.59,641,Espinho,Aveiro,0,654,3.43,,False,517,2.71,4,19044,61.82,António Manuel de Sousa Andrade,2013
27,0,CDS-PP,0,0,1,0,2.42,0,2.57,460,Espinho,Aveiro,0,654,3.43,,False,517,2.71,4,19044,61.82,Diogo Silva Pardilhó Duarte de Campos,2013
28,0,PCP - PEV,0,0,1,0,6.25,0,6.66,1191,Espinho,Aveiro,0,654,3.43,,False,517,2.71,4,19044,61.82,Fausto Manuel da Silva Neves,2013
29,4,PPD/PSD,1,1,1,4,47.22,1,50.32,8993,Espinho,Aveiro,0,654,3.43,,False,517,2.71,4,19044,61.82,Joaquim José Pinto Moreira,2013
30,3,PS,0,0,1,3,34.59,0,36.86,6588,Espinho,Aveiro,0,654,3.43,,False,517,2.71,4,19044,61.82,José Barbosa da Mota,2013
31,0,I,0,0,1,0,8.01,0,8.57,978,Estarreja,Aveiro,0,455,3.73,,False,348,2.85,5,12214,49.15,José Artur Pereira de Pinho,2013
32,0,PCP - PEV,0,0,1,0,8.33,0,8.91,1017,Estarreja,Aveiro,0,455,3.73,,False,348,2.85,5,12214,49.15,Américo Rodrigues Soares,2013
33,4,PPD/PSD.CDS-PP,1,1,1,4,43.01,1,46.03,5253,Estarreja,Aveiro,0,455,3.73,,False,348,2.85,5,12214,49.15,Diamantino Manuel Sabina,2013
34,3,PS,0,0,1,3,34.08,0,36.48,4163,Estarreja,Aveiro,0,455,3.73,,False,348,2.85,5,12214,49.15,Fernando Manuel Mendonça Albergaria Matos,2013
35,0,PCP - PEV,0,0,1,0,7.89,0,8.48,751,Mealhada,Aveiro,0,420,4.41,,False,247,2.59,6,9521,50.52,João Manuel Lima Louceiro,2013
36,3,PPD/PSD.CDS-PP.MPT.PPM,0,0,1,3,36.5,0,39.25,3475,Mealhada,Aveiro,0,420,4.41,,False,247,2.59,6,9521,50.52,Gonçalo Nuno Vigária Santos Louzada,2013
37,4,PS,1,1,1,4,46.88,1,50.41,4463,Mealhada,Aveiro,0,420,4.41,,False,247,2.59,6,9521,50.52,Rui Manuel Leal Marqueiro,2013
38,0,CDS-PP,0,0,1,0,5.67,0,5.95,275,Murtosa,Aveiro,0,125,2.58,,False,107,2.21,4,4852,48.19,Eduardo Nunes Marques,2013
39,0,PCP - PEV,0,0,1,0,2.35,0,2.47,114,Murtosa,Aveiro,0,125,2.58,,False,107,2.21,4,4852,48.19,Jorge Augusto Portela Vieira,2013
40,6,PPD/PSD,1,1,1,6,70.92,1,74.48,3441,Murtosa,Aveiro,0,125,2.58,,False,107,2.21,4,4852,48.19,Joaquim Manuel dos Santos Baptista,2013
41,1,PS,0,0,1,1,16.28,0,17.1,790,Murtosa,Aveiro,0,125,2.58,,False,107,2.21,4,4852,48.19,António Jorge Feio Bacelar Vilar,2013
42,0,B.E.,0,0,1,0,2.04,0,2.19,702,Oliveira de Azeméis,Aveiro,0,1372,3.99,,False,919,2.67,12,34414,56.17,Diogo André Silva Barbosa,2013
43,0,CDS-PP,0,0,1,0,7.36,0,7.88,2532,Oliveira de Azeméis,Aveiro,0,1372,3.99,,False,919,2.67,12,34414,56.17,Miguel Angelo de Carvalho Santos Portela,2013
44,0,PCP - PEV,0,0,1,0,2.84,0,3.04,977,Oliveira de Azeméis,Aveiro,0,1372,3.99,,False,919,2.67,12,34414,56.17,João Miguel Tavares Carmo,2013
45,5,PPD/PSD,1,1,1,5,41.55,1,44.51,14298,Oliveira de Azeméis,Aveiro,0,1372,3.99,,False,919,2.67,12,34414,56.17,Hermínio José Sobral de Loureiro Gonçalves,2013
46,4,PS,0,0,1,4,39.56,0,42.38,13614,Oliveira de Azeméis,Aveiro,0,1372,3.99,,False,919,2.67,12,34414,56.17,Joaquim Jorge Ferreira,2013
47,3,CDS-PP,0,0,1,3,37.35,0,40.21,4068,Oliveira do Bairro,Aveiro,0,452,4.15,,False,323,2.97,4,10891,51.8,Paulo Jorge Caiado Santos,2013
48,0,PCP - PEV,0,0,1,0,2.84,0,3.05,309,Oliveira do Bairro,Aveiro,0,452,4.15,,False,323,2.97,4,10891,51.8,Artur Pereira Ramísio,2013
49,4,PPD/PSD,1,1,1,4,44.06,1,47.44,4799,Oliveira do Bairro,Aveiro,0,452,4.15,,False,323,2.97,4,10891,51.8,Mário João Ferreira da Silva Oliveira,2013
50,0,PS,0,0,1,0,8.63,0,9.29,940,Oliveira do Bairro,Aveiro,0,452,4.15,,False,323,2.97,4,10891,51.8,Manuel Ferreira Bôrras,2013
51,0,B.E.,0,0,1,0,4.77,0,5.14,1218,Ovar,Aveiro,0,1133,4.44,,False,729,2.85,5,25541,51.3,Pedro Miguel Moreira Rodrigues,2013
52,0,CDS-PP,0,0,1,0,2.95,0,3.18,753,Ovar,Aveiro,0,1133,4.44,,False,729,2.85,5,25541,51.3,António Manuel França de Jesus,2013
53,0,PCP - PEV,0,0,1,0,6.01,0,6.48,1535,Ovar,Aveiro,0,1133,4.44,,False,729,2.85,5,25541,51.3,Dinis de Pinho Silveira,2013
54,4,PPD/PSD,1,1,1,4,43.86,1,47.31,11202,Ovar,Aveiro,0,1133,4.44,,False,729,2.85,5,25541,51.3,Salvador Malheiro Ferreira da Silva,2013
55,3,PS,0,0,1,3,35.12,0,37.89,8971,Ovar,Aveiro,0,1133,4.44,,False,729,2.85,5,25541,51.3,Vítor Manuel Gouveia Ferreira,2013
56,0,B.E.,0,0,1,0,4.01,0,4.36,2792,Santa Maria da Feira,Aveiro,0,3593,5.16,,False,2068,2.97,21,69667,55.41,António Manuel Mendes Torres,2013
57,0,CDS-PP,0,0,1,0,3.84,0,4.18,2675,Santa Maria da Feira,Aveiro,0,3593,5.16,,False,2068,2.97,21,69667,55.41,Manuel José Alferes Pereira,2013
58,0,PCP - PEV,0,0,1,0,4.24,0,4.62,2955,Santa Maria da Feira,Aveiro,0,3593,5.16,,False,2068,2.97,21,69667,55.41,Antero de Oliveira Resende,2013
59,6,PPD/PSD,1,1,1,6,44.52,1,48.46,31019,Santa Maria da Feira,Aveiro,0,3593,5.16,,False,2068,2.97,21,69667,55.41,Emídio Ferreira dos Santos Sousa,2013
60,5,PS,0,0,1,5,35.26,0,38.38,24565,Santa Maria da Feira,Aveiro,0,3593,5.16,,False,2068,2.97,21,69667,55.41,Eduardo Marques dos Santos Cavaco,2013
61,0,CDS-PP,0,0,1,0,8.64,0,9.13,670,Sever do Vouga,Aveiro,0,217,2.8,,False,203,2.62,7,7759,66.12,Ercília Maria Marques da Silva Pedro,2013
62,0,PCP - PEV,0,0,1,0,2.06,0,2.18,160,Sever do Vouga,Aveiro,0,217,2.8,,False,203,2.62,7,7759,66.12,Raul Nogueira Tavares,2013
63,3,PPD/PSD,0,0,1,3,37.58,0,39.73,2916,Sever do Vouga,Aveiro,0,217,2.8,,False,203,2.62,7,7759,66.12,João Miguel Tavares Almeida,2013
64,4,PS,1,1,1,4,46.31,1,48.96,3593,Sever do Vouga,Aveiro,0,217,2.8,,False,203,2.62,7,7759,66.12,António José Martins Coutinho,2013
65,0,B.E.,0,0,1,0,2.25,0,2.38,225,São João da Madeira,Aveiro,0,363,3.62,,False,191,1.91,1,10016,49.28,André Pereira de Oliveira,2013
66,0,CDS-PP,0,0,1,0,2.96,0,3.13,296,São João da Madeira,Aveiro,0,363,3.62,,False,191,1.91,1,10016,49.28,Rogério Soares Leite da Silva,2013
67,1,I,0,0,1,1,9.98,0,10.57,1000,São João da Madeira,Aveiro,0,363,3.62,,False,191,1.91,1,10016,49.28,Jorge Manuel dos Santos Lima,2013
68,0,PCP - PEV,0,0,1,0,6.19,0,6.55,620,São João da Madeira,Aveiro,0,363,3.62,,False,191,1.91,1,10016,49.28,Rita Susana Bastos de Oliveira Mendes,2013
69,3,PPD/PSD,1,0,1,3,38.02,1,40.25,3808,São João da Madeira,Aveiro,0,363,3.62,,False,191,1.91,1,10016,49.28,Ricardo Nicolau Soares Terra de Oliveira Figueiredo,2013
70,3,PS,0,0,1,3,35.07,0,37.13,3513,São João da Madeira,Aveiro,0,363,3.62,,False,191,1.91,1,10016,49.28,Luís Miguel dos Santos Ferreira,2013
71,2,CDS-PP,0,0,1,2,32.88,0,34.75,3903,Vagos,Aveiro,0,367,3.09,,False,273,2.3,8,11872,52.41,Maria do Céu Pereira Sarabando Marques,2013
72,0,PCP - PEV,0,0,1,0,2.0,0,2.12,238,Vagos,Aveiro,0,367,3.09,,False,273,2.3,8,11872,52.41,Alexandre Claro Loff,2013
73,4,PPD/PSD,1,1,1,4,48.52,1,51.28,5760,Vagos,Aveiro,0,367,3.09,,False,273,2.3,8,11872,52.41,Silvério Rodrigues Regalado,2013
74,1,PS,0,0,1,1,11.21,0,11.85,1331,Vagos,Aveiro,0,367,3.09,,False,273,2.3,8,11872,52.41,Mário dos Santos Martins Júnior,2013
75,4,CDS-PP,1,1,1,4,45.97,1,48.79,6382,Vale de Cambra,Aveiro,0,377,2.72,,False,427,3.08,7,13884,62.1,José Alberto Freitas Soares Pinheiro e Silva,2013
76,0,PCP - PEV,0,0,1,0,2.86,0,3.04,397,Vale de Cambra,Aveiro,0,377,2.72,,False,427,3.08,7,13884,62.1,José Agostinho Gaspar Ferreira,2013
77,2,PPD/PSD,0,0,1,2,33.73,0,35.8,4683,Vale de Cambra,Aveiro,0,377,2.72,,False,427,3.08,7,13884,62.1,José António Bastos da Silva,2013
78,1,PS,0,0,1,1,11.65,0,12.37,1618,Vale de Cambra,Aveiro,0,377,2.72,,False,427,3.08,7,13884,62.1,Nelson da Silva Martins,2013
79,0,PCP - PEV,0,0,1,0,3.87,0,4.15,910,Águeda,Aveiro,0,1047,4.45,,False,558,2.37,11,23521,53.75,Nelson Manuel Nunes Leal,2013
80,2,PPD/PSD.CDS-PP,0,0,1,2,29.33,0,31.48,6899,Águeda,Aveiro,0,1047,4.45,,False,558,2.37,11,23521,53.75,Maria Paula da Graça Cardoso,2013
81,5,PS,1,1,1,5,59.98,1,64.37,14107,Águeda,Aveiro,0,1047,4.45,,False,558,2.37,11,23521,53.75,Gil Nadais Resende da Fonseca,2013
82,0,B.E.,0,0,1,0,4.17,0,4.65,598,Ílhavo,Aveiro,0,956,6.66,,False,527,3.67,4,14351,40.1,Pedro Miguel de Pinho Tavares,2013
83,0,CDS-PP,0,0,1,0,7.84,0,8.74,1125,Ílhavo,Aveiro,0,956,6.66,,False,527,3.67,4,14351,40.1,Armindo Valente Domingues Prina,2013
84,0,PCP - PEV,0,0,1,0,5.01,0,5.59,719,Ílhavo,Aveiro,0,956,6.66,,False,527,3.67,4,14351,40.1,João da Cruz Coquim,2013
85,4,PPD/PSD,1,1,1,4,44.28,1,49.38,6354,Ílhavo,Aveiro,0,956,6.66,,False,527,3.67,4,14351,40.1,Fernando Fidalgo Caçoilo,2013
86,3,PS,0,0,1,3,28.37,0,31.64,4072,Ílhavo,Aveiro,0,956,6.66,,False,527,3.67,4,14351,40.1,José Marinho Vaz,2013
87,0,B.E.,0,0,1,0,3.09,0,3.3,529,Angra do Heroísmo,Açores,0,805,4.7,,False,270,1.58,19,17119,51.85,Paulo José Maio Sousa Mendes,2013
88,0,PCP - PEV,0,0,1,0,2.28,0,2.44,391,Angra do Heroísmo,Açores,0,805,4.7,,False,270,1.58,19,17119,51.85,António Pedro Inocêncio,2013
89,3,PPD/PSD.CDS-PP,0,0,1,3,43.31,0,46.21,7414,Angra do Heroísmo,Açores,0,805,4.7,,False,270,1.58,19,17119,51.85,António Lima Cardoso Ventura,2013
90,4,PS,1,1,1,4,45.04,1,48.06,7710,Angra do Heroísmo,Açores,0,805,4.7,,False,270,1.58,19,17119,51.85,José Gabriel do Álamo de Meneses,2013
91,2,I,1,0,1,2,40.97,1,42.2,1044,Calheta (R.A.A.),Açores,0,33,1.3,,False,41,1.61,5,2548,69.3,Décio Natálio Almada Pereira,2013
92,1,PPD/PSD,0,0,1,1,27.55,0,28.38,702,Calheta (R.A.A.),Açores,0,33,1.3,,False,41,1.61,5,2548,69.3,Aires António Fagundes Reis,2013
93,2,PS,0,0,1,2,28.57,0,29.43,728,Calheta (R.A.A.),Açores,0,33,1.3,,False,41,1.61,5,2548,69.3,António Vitorino da Silveira,2013
94,2,PPD/PSD,0,0,1,2,34.07,0,36.61,93,Corvo,Açores,0,15,5.49,,False,4,1.47,1,273,76.69,José Manuel Avelar Nunes,2013
95,3,PS,1,1,1,3,58.97,1,63.39,161,Corvo,Açores,0,15,5.49,,False,4,1.47,1,273,76.69,José Manuel Alves da Silva,2013
96,0,B.E.,0,0,1,0,3.78,0,3.96,303,Horta,Açores,0,293,3.65,,False,79,0.98,13,8024,60.94,João Ângelo Stattmiller Saldanha Albuquerque Neves,2013
97,0,PCP - PEV,0,0,1,0,5.15,0,5.4,413,Horta,Açores,0,293,3.65,,False,79,0.98,13,8024,60.94,Maria do Céu Barroca de Brito,2013
98,3,PPD/PSD.CDS-PP.PPM,0,0,1,3,34.01,0,35.66,2729,Horta,Açores,0,293,3.65,,False,79,0.98,13,8024,60.94,Luís Carlos Correia Garcia,2013
99,4,PS,1,1,1,4,52.43,1,54.98,4207,Horta,Açores,0,293,3.65,,False,79,0.98,13,8024,60.94,José Leonardo Goulart Silva,2013
100,0,CDS-PP,0,0,1,0,5.24,0,5.49,327,Lagoa (R.A.A),Açores,0,150,2.4,,False,137,2.2,5,6238,49.84,Roberto Manuel Sousa Oliveira,2013
101,0,PCP - PEV,0,0,1,0,1.81,0,1.9,113,Lagoa (R.A.A),Açores,0,150,2.4,,False,137,2.2,5,6238,49.84,Eugénio Cesar Mota Moura,2013
102,1,PPD/PSD,0,0,1,1,20.52,0,21.51,1280,Lagoa (R.A.A),Açores,0,150,2.4,,False,137,2.2,5,6238,49.84,José Duarte Barbosa Cabecinha,2013
103,6,PS,1,1,1,6,67.83,1,71.1,4231,Lagoa (R.A.A),Açores,0,150,2.4,,False,137,2.2,5,6238,49.84,João António Ferreira Ponte,2013
104,2,PPD/PSD,0,0,1,2,44.66,0,46.13,477,Lajes das Flores,Açores,0,21,1.97,,False,13,1.22,7,1068,82.03,Alice Correia Rocha Ramos,2013
105,3,PS,1,1,1,3,52.15,1,53.87,557,Lajes das Flores,Açores,0,21,1.97,,False,13,1.22,7,1068,82.03,Luís Carlos Martins Maciel,2013
106,0,CDS-PP,0,0,1,0,4.45,0,4.59,148,Lajes do Pico,Açores,0,65,1.96,,False,34,1.02,6,3324,73.59,José Lourenço de Freitas Azevedo,2013
107,2,PPD/PSD,0,0,1,2,41.4,0,42.67,1376,Lajes do Pico,Açores,0,65,1.96,,False,34,1.02,6,3324,73.59,Cláudio José Gomes Lopes,2013
108,3,PS,1,1,1,3,51.17,1,52.74,1701,Lajes do Pico,Açores,0,65,1.96,,False,34,1.02,6,3324,73.59,Roberto Manuel Medeiros da Silva,2013
109,0,CDS-PP,0,0,1,0,3.78,0,3.86,146,Madalena,Açores,0,63,1.63,,False,19,0.49,6,3860,68.82,Maria de Lurdes Rodrigues Luís Silva,2013
110,0,PCP - PEV,0,0,1,0,1.3,0,1.32,50,Madalena,Açores,0,63,1.63,,False,19,0.49,6,3860,68.82,Sérgio Manuel Goulart Gonçalves,2013
111,3,PPD/PSD,1,1,1,3,47.33,1,48.36,1827,Madalena,Açores,0,63,1.63,,False,19,0.49,6,3860,68.82,José António Marcos Soares,2013
112,2,PS,0,0,1,2,45.47,0,46.45,1755,Madalena,Açores,0,63,1.63,,False,19,0.49,6,3860,68.82,Miguel António Moniz Costa,2013
113,2,PPD/PSD,0,0,1,2,47.23,0,48.52,1657,Nordeste,Açores,0,43,1.23,,False,50,1.43,9,3508,72.64,Rogério Cabral de Frias,2013
114,3,PS,1,1,1,3,50.11,1,51.48,1758,Nordeste,Açores,0,43,1.23,,False,50,1.43,9,3508,72.64,Carlos Alberto Medeiros Mendonça,2013
115,0,B.E.,0,0,1,0,2.15,0,2.22,629,Ponta Delgada,Açores,0,605,2.06,,False,353,1.2,24,29321,45.87,Jorge Manuel de Morais Kol de Carvalho,2013
116,0,CDS-PP,0,0,1,0,0.85,0,0.88,249,Ponta Delgada,Açores,0,605,2.06,,False,353,1.2,24,29321,45.87,Pedro Miguel Carvalho Pereira,2013
