,mandates,party,presidents,votes.absoluteMajority,votes.constituenctyCounter,votes.mandates,votes.percentage,votes.presidents,votes.validVotesPercentage,votes.votes,county,district,availableMandates,blankVotes,blankVotesPercentage,displayMessage,hasNoVoting,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters,candidatos,year
0,0,B.E.,0,0,1,0,1.55,0,1.63,203,Albergaria-a-Velha,Aveiro,0,387,2.95,,False,276,2.11,6,13110,57.47,Rui Manuel Pinto Chagas Câncio Ferreira,2017
1,4,CDS-PP,1,1,1,4,43.49,1,45.8,5701,Albergaria-a-Velha,Aveiro,0,387,2.95,,False,276,2.11,6,13110,57.47,António Augusto Amaral Loureiro e Santos,2017
2,0,PCP - PEV,0,0,1,0,2.89,0,3.04,379,Albergaria-a-Velha,Aveiro,0,387,2.95,,False,276,2.11,6,13110,57.47,Bruno Miguel Alves Bento,2017
3,3,PPD/PSD,0,0,1,3,37.05,0,39.02,4857,Albergaria-a-Velha,Aveiro,0,387,2.95,,False,276,2.11,6,13110,57.47,José Licínio Tavares Pimenta,2017
4,0,PS,0,0,1,0,9.97,0,10.5,1307,Albergaria-a-Velha,Aveiro,0,387,2.95,,False,276,2.11,6,13110,57.47,Elísio Apolinário Simões da Silva,2017
5,0,CDS-PP,0,0,1,0,3.61,0,3.87,556,Anadia,Aveiro,0,586,3.81,,False,426,2.77,10,15395,54.16,João Tiago Castelo Branco Charuca de Azevedo,2017
6,3,III,1,0,1,3,41.42,1,44.34,6377,Anadia,Aveiro,0,586,3.81,,False,426,2.77,10,15395,54.16,Maria Teresa Belém Correia Cardoso,2017
7,0,PCP - PEV,0,0,1,0,3.09,0,3.31,476,Anadia,Aveiro,0,586,3.81,,False,426,2.77,10,15395,54.16,Maria de Fátima Gomes Martins da Costa Henriques Flores,2017
8,3,PPD/PSD,0,0,1,3,31.48,0,33.69,4846,Anadia,Aveiro,0,586,3.81,,False,426,2.77,10,15395,54.16,José Manuel Ferreira Nunes Ribeiro,2017
9,1,PS,0,0,1,1,13.82,0,14.8,2128,Anadia,Aveiro,0,586,3.81,,False,426,2.77,10,15395,54.16,Lino Jorge Cerveira Pintado,2017
10,0,CDS-PP,0,0,1,0,5.24,0,5.46,726,Arouca,Aveiro,0,312,2.25,,False,260,1.87,16,13867,66.32,Adriano de Jesus Brandão,2017
11,0,PCP - PEV,0,0,1,0,2.81,0,2.93,390,Arouca,Aveiro,0,312,2.25,,False,260,1.87,16,13867,66.32,Francisco Manuel da Cunha Gonçalves,2017
12,2,PPD/PSD,0,0,1,2,28.35,0,29.57,3931,Arouca,Aveiro,0,312,2.25,,False,260,1.87,16,13867,66.32,José Luís Alves da Silva,2017
13,5,PS,1,1,1,5,59.48,1,62.04,8248,Arouca,Aveiro,0,312,2.25,,False,260,1.87,16,13867,66.32,José Artur Tavares Neves,2017
14,0,B.E.,0,0,1,0,3.98,0,4.33,1366,Aveiro,Aveiro,0,1830,5.33,,False,971,2.83,10,34330,48.95,Nelson Ricardo Esteves Peralta,2017
15,1,IX,0,0,1,1,10.14,0,11.04,3480,Aveiro,Aveiro,0,1830,5.33,,False,971,2.83,10,34330,48.95,Élio Manuel Delgado da Maia,2017
16,0,PCP - PEV,0,0,1,0,3.67,0,3.99,1259,Aveiro,Aveiro,0,1830,5.33,,False,971,2.83,10,34330,48.95,Miguel Lopes Batista Viegas,2017
